run_id,stage,task,metric_name,metric_value,"notes",timestamp
run_1778793656,Batch ETL,task,bronze_latency_sec,14.202190637588501,"Traitement de 1000 évènements bruts",2026-05-14T23:20:56.993945
run_1778793660,Batch ETL,task,silver_latency_sec,3.4158687591552734,"Nettoyage de 1000 évènements",2026-05-14T23:21:00.876493
run_1778793662,Batch ETL,task,gold_latency_sec,1.7492597103118896,"Agrégation des dépôts réussie",2026-05-14T23:21:02.626210
run_1778793773,Batch ETL,task,bronze_latency_sec,6.1820595264434814,"Traitement de 1000 évènements bruts",2026-05-14T23:22:53.304646
run_1778793774,Batch ETL,task,silver_latency_sec,1.1999244689941406,"Nettoyage de 1000 évènements",2026-05-14T23:22:54.719608
run_1778793775,Batch ETL,task,gold_latency_sec,0.8028366565704346,"Agrégation des dépôts réussie",2026-05-14T23:22:55.522847
run_1778793796,Batch ETL,task,bronze_latency_sec,1.067847490310669,"Traitement de 1000 évènements bruts",2026-05-14T23:23:16.532002
run_1778793797,Batch ETL,task,silver_latency_sec,0.4307270050048828,"Nettoyage de 1000 évènements",2026-05-14T23:23:17.119829
run_1778793797,Batch ETL,task,gold_latency_sec,0.388690710067749,"Agrégation des dépôts réussie",2026-05-14T23:23:17.509031
run_1778794249,Batch ETL,task,bronze_latency_sec,59.754629611968994,"Traitement de 590187 évènements bruts",2026-05-14T23:30:49.439709
run_1778794254,Batch ETL,task,silver_latency_sec,4.269775152206421,"Nettoyage de 590187 évènements",2026-05-14T23:30:54.054224
run_1778794256,Batch ETL,task,gold_latency_sec,1.9711580276489258,"Agrégation des dépôts réussie",2026-05-14T23:30:56.025538
run_1778794931,Batch ETL,task,bronze_latency_sec,71.732168674469,"Traitement de 863008 évènements bruts",2026-05-14T23:42:11.141209
run_1778794936,Batch ETL,task,silver_latency_sec,4.900241851806641,"Nettoyage de 863008 évènements",2026-05-14T23:42:16.399932
run_1778794938,Batch ETL,task,gold_latency_sec,2.0080556869506836,"Agrégation des dépôts réussie",2026-05-14T23:42:18.408463
run_1778796341,Batch ETL,task,bronze_latency_sec,69.37793183326721,"Traitement de 863008 évènements bruts",2026-05-15T00:05:41.276904
run_1778796345,Batch ETL,task,silver_latency_sec,4.194418907165527,"Nettoyage de 863008 évènements",2026-05-15T00:05:45.831130
run_1778796348,Batch ETL,task,gold_latency_sec,2.257009744644165,"Agrégation des dépôts réussie",2026-05-15T00:05:48.088360
run_1778796490,Batch ETL,task,bronze_latency_sec,65.82133197784424,"Traitement de 863008 évènements bruts",2026-05-15T00:08:10.497098
run_1778796495,Batch ETL,task,silver_latency_sec,4.810941934585571,"Nettoyage de 863008 évènements",2026-05-15T00:08:15.624082
run_1778796497,Batch ETL,task,gold_latency_sec,1.9498472213745117,"Agrégation des dépôts réussie",2026-05-15T00:08:17.574138
run_1778796653,Batch ETL,task,bronze_latency_sec,65.77125835418701,"Traitement de 863008 évènements bruts",2026-05-15T00:10:53.436789
run_1778796657,Batch ETL,task,silver_latency_sec,3.514523506164551,"Nettoyage de 863008 évènements",2026-05-15T00:10:57.430267
run_1778796659,Batch ETL,task,gold_latency_sec,2.3443384170532227,"Agrégation des dépôts réussie",2026-05-15T00:10:59.774797
run_1778797610,Batch ETL,task,bronze_latency_sec,40.43455100059509,"Traitement de 323291 évènements bruts",2026-05-15T00:26:50.608525
